county,returns,total_tax
ADAMS,30631,33754840
ALEXANDER,2493,1823961
BOND,6786,6876279
BOONE,22684,29531837
BROWN,2286,2428032
BUREAU,16005,16940426
CALHOUN,2097,2224878
CARROLL,7569,7148717
CASS,6128,6061846
CHAMPAIGN,78146,103415225
CHRISTIAN,15399,16292769
CLARK,7314,7391445
CLAY,6042,5300307
CLINTON,16733,19827321
COLES,20132,21831467
COOK,2212730,3486675884
CRAWFORD,8596,9173700
CUMBERLAND,4526,4188899
DEKALB,41666,50247066
DEWITT,7303,8770578
DOUGLAS,9187,9697968
DUPAGE,429960,865209267
EDGAR,8049,8117988
EDWARDS,2974,2847800
EFFINGHAM,16833,19703554
FAYETTE,9044,8047221
FORD,6445,7031626
FRANKLIN,16119,14277289
FULTON,15720,14872403
GALLATIN,2331,2524952
GREENE,5747,5289423
GRUNDY,21403,29446392
HAMILTON,3464,3280425
HANCOCK,8503,8197359
HARDIN,1541,1413991
HENDERSON,3155,3026286
HENRY,23040,27597578
IROQUOIS,13319,13755868
JACKSON,21914,21407598
JASPER,4670,4823569
JEFFERSON,16298,16735885
JERSEY,9904,11144568
JO DAVIESS,10844,11589229
JOHNSON,4679,4026932
KANE,208856,325693069
KANKAKEE,47046,51656496
KENDALL,47597,76129112
KNOX,22276,22458516
LAKE,302024,725028487
LASALLE,51300,56689234
LAWRENCE,6033,6236289
LEE,16183,18081726
LIVINGSTON,16641,19331291
LOGAN,12009,12973240
MACON,47680,57584380
MACOUPIN,20767,21464563
MADISON,117339,146473900
MARION,16921,15204704
MARSHALL,5806,6400342
MASON,7097,7143034
MASSAC,6234,5897779
MCDONOUGH,12507,12095415
MCHENRY,139220,225199769
MCLEAN,70965,108917662
MENARD,5874,7134270
MERCER,7928,8781040
MONROE,15165,23729434
MONTGOMERY,12687,13465101
MORGAN,15414,16971411
MOULTRIE,6769,7766720
OGLE,24158,27245295
PEORIA,82928,112129897
PERRY,8647,7888528
PIATT,7608,9861742
PIKE,6709,6457849
POPE,1451,1153784
PULASKI,2423,1966416
PUTNAM,2953,3290693
RANDOLPH,13352,13802126
RICHLAND,7248,6969136
ROCK ISLAND,65262,72310729
SALINE,10146,9956248
SANGAMON,92576,123934636
SCHUYLER,3170,3216213
SCOTT,2090,2195657
SHELBY,9875,9678240
ST CLAIR,107235,125634622
STARK,2345,2695384
STEPHENSON,21353,20767202
TAZEWELL,60978,76424247
UNION,7449,6986915
VERMILION,32650,30695780
WABASH,5279,5711498
WARREN,6973,7071495
WASHINGTON,7110,8243365
WAYNE,7026,6767490
WHITE,6320,6707747
WHITESIDE,26489,26517741
WILL,283820,450907789
WILLIAMSON,27434,27903034
WINNEBAGO,126727,140598436
WOODFORD,16931,25619213
OUT OF STATE,340505,402157224
